lista_num,lista_nome,candidato_sindaco_num,candidato_sindaco_nome,candidato_num,candidato_nome,cifra_individuale,preferenze
6,RINASCERE,1,DRAGO PASQUALE,19,ROMA LAURA ASSUNTA,1616,53
6,RINASCERE,1,DRAGO PASQUALE,11,FARINOLA VINCENZO MICHELE GIUSEPPE(detto ENZO),1598,35
6,RINASCERE,1,DRAGO PASQUALE,20,ROSELLI ANNA MARIA PAOLA (detta ANNA MARIA),1595,32
6,RINASCERE,1,DRAGO PASQUALE,8,de FLORIA FRANCESCO MARIA(detto FRANCO),1592,29
6,RINASCERE,1,DRAGO PASQUALE,17,MORGESE BARTOLOMEO,1586,23
6,RINASCERE,1,DRAGO PASQUALE,9,de GIOIA MARIA(detta MARIELLA),1585,22
6,RINASCERE,1,DRAGO PASQUALE,2,ANNESE MAURO CESARE,1583,20
6,RINASCERE,1,DRAGO PASQUALE,12,GIANCASPRO NICOLA,1581,18
6,RINASCERE,1,DRAGO PASQUALE,22,ROSELLI GIOVANNA (detta GIANNA),1573,10
6,RINASCERE,1,DRAGO PASQUALE,10,de CICCO MICHELE,1572,9
6,RINASCERE,1,DRAGO PASQUALE,3,BINETTI FLAVIA,1570,7
6,RINASCERE,1,DRAGO PASQUALE,14,LOMIO GIULIA,1570,7
6,RINASCERE,1,DRAGO PASQUALE,21,ROSELLI CARLO,1564,1
6,RINASCERE,1,DRAGO PASQUALE,4,CAGNETTA FREDDY,1563,0
6,RINASCERE,1,DRAGO PASQUALE,24,TODISCO GIOVANNI,1563,0
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,2,BINETTI MAURO,1547,360
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,1,BALESTRA GIUSEPPE,1462,275
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,19,PAPPAGALLO ADDOLORATA (detta DORA),1374,187
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,21,RAFANELLI GIACOMA BARBARA (detta BARBARA),1335,148
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,7,BELLIFEMINE VITO (detto VITO),1332,145
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,4,ANGIONE ONOFRIO,1237,50
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,24,VILARDI MAURO,1224,37
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,18,PANSINI MARIA,1220,33
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,9,de FAZIO MARIANGELA,1218,31
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,3,AMATO LUCIA,1217,30
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,11,DEVITO VALENTINA,1216,29
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,8,de CEGLIA FELICIA(detta LICIA),1208,21
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,12,FANELLI MARIKA,1207,20
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,13,GADALETA NICOLO’,1204,17
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,14,GARGANO ANNA,1204,17
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,6,ARUANNO SIMONE UMBERTO,1200,13
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,5,ANNOSCIA ROSSELLA,1199,12
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,23,STASI LUCIA,1199,12
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,10,de ROBERTIS COSIMO DAMIANO,1198,11
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,22,SCARPA ROBERTO,1197,10
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,16,MARIN PETRONEL - GABRIEL,1195,8
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,17,MINERVINI GIUSEPPE,1193,6
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,20,PETRUZZELLA SERGIO ILARIO,1191,4
7,MOLFETTA NOSTRA,2,MASTROPASQUA PIETRO PAOLO,15,GUASTADISEGNO ROSARIA (detta SARA),1189,2
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,4,de BARI ISABELLA MARIA ROSARIA (detta ISA),1011,274
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,15,SPANO MARIA,913,176
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,9,GALDINO PASQUALE,843,106
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,5,de GIOIA GIUSEPPE,816,79
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,2,CENTRONE SAVERIO (detto ERIO),776,39
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,1,AMATO GAETANO,764,27
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,14,SCIANCALEPORE GIOVANNI,760,23
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,13,RAGUSA ALFREDO,753,16
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,3,CRISMALE FRANCESCA,752,15
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,11,PARISI SUSANNA,749,12
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,12,PETRUZZELLA LEONARDO (detto LEO),747,10
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,10,LAFRANCESCHINA ANTONELLA,743,6
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,7,FARINOLA ROBERTA,741,4
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,6,DOBRYDEN MARYNA (detta MARINA),740,3
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,8,GADALETA MARILENA EUGENIA,738,1
8,FORZA ITALIA,2,MASTROPASQUA PIETRO PAOLO,16,VALERIO FELICETTA,737,0
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,2,BINETTI PANTALEO (detto LEO BICÒ),1028,289
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,19,TRIDENTE LUGI,907,168
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,20,RANA CORRADO,855,116
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,23,SANCILIO GIOVANNA,831,92
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,14,d'ABRUZZO IOLANDA,785,46
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,15,MESSINA VINCENZO,778,39
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,12,CIFARELLI ADDOLORATA (detta DORETTA),773,34
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,9,INTRONA SIMONA,768,29
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,5,LA MASTRA GAETANO,765,26
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,22,de ROBERTIS ROSALBA,764,25
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,13,SPADAVECCHIA MARIA TERESA,761,22
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,17,ANASTASIA ALESSANDRA,761,22
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,8,de BARI ANTONIO,760,21
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,6,PANSINI LUCIA,758,19
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,10,AZZOLLINI CLAUDIA,755,16
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,18,BUFI NICOLETTA (detta NICLA),750,11
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,11,CAFAGNA ANGELA,747,8
